,"word","duration","onset"
0,"lorsque",1.11,0.149999999999999
1,"j'",0.0600000000000001,1.26
2,"avais",0.69,1.59
3,"six",0.749999999999999,2.79
4,"ans",0.540000000000002,3.54
5,"j'",0.419999999999999,4.2
6,"ai",0.702039,4.62
7,"vu",0.871287000000004,5.578299
8,"une",1.050414,6.449586
9,"fois",0.99,7.5
10,"une",1.38,9.42
11,"magnifique",1.83,10.8
12,"image",1.5,12.63
13,"dans",0.959999999999998,14.58
14,"un",0.600000000000003,15.54
15,"livre",0.809999999999999,16.14
16,"sur",0.599999999999998,16.95
17,"la",0.299999999999999,17.55
18,"forêt",1.14,17.85
19,"vierge",1.44,18.99
20,"qui",0.539999999999999,20.43
21,"s'",0.389999999999997,20.97
22,"appelait",1.32,21.36
23,"histoires",1.62,23.43
24,"vécues",1.32,25.05
25,"ça",0.929999999999996,28.92
26,"représentait",1.77,29.85
27,"un",0.390000000000002,31.62
28,"serpent",1.47,32.01
29,"boa",1.14,33.48
30,"qui",0.539999999999999,35.31
31,"avalait",1.38,35.85
32,"un",0.420000000000002,37.23
33,"fauve",1.73999999999999,37.65
34,"voilà",1.23,41.16
35,"la",0.390000000000008,42.39
36,"copie",1.16999999999999,42.78
37,"du",0.225000000000009,43.95
38," ",0.224999999999998,44.175
39,"dessin",1.2,44.4
40,"on",0.180000000000007,49.41
41,"disait",1.23,49.59
42,"dans",0.509999999999995,50.82
43,"le",0.450000000000006,51.33
44,"livre",1.52999999999999,51.78
45,"les",0.570000000000004,53.94
46,"serpents",1.43999999999999,54.51
47,"boas",1.29,55.95
48,"avalent",1.65,57.42
49,"leur",0.569999999999993,59.07
50,"proie",1.08,59.64
51,"tout",0.75,61.2
52,"entière",1.98,61.95
53,"sans",1.05,63.93
54,"la",0.389999999999997,64.98
55,"mâcher",1.47000000000001,65.37
56,"ensuite",1.56,68.43
57,"ils",0.300000000000004,69.99
58,"ne",0.420000000000002,70.29
59,"peuvent",0.690000000000001,70.71
60,"plus",0.779999999999994,71.4
61,"bouger",1.39272,72.18
62,"et",0.513464999999997,74.114709
63,"ils",0.431825999999997,74.628174
64,"dorment",1.26000000000001,75.06
65,"pendant",0.989999999999995,76.32
66,"les",0.420000000000002,77.31
