word	onset	duration
lorsque	0.7	0.3
j'avais	1.05	0.3
six	1.4	0.3
ans,	1.75	0.3
j'ai	2.1	0.3
vu,	2.45	0.3
une	2.8	0.3
fois,	3.15	0.3
une	3.5	0.3
magnifique	3.85	0.3
image,	4.2	0.3
dans	4.55	0.3
un	4.9	0.3
livre	5.25	0.3
sur	5.6	0.3
la	5.95	0.3
forêt	6.3	0.3
vierge	6.65	0.3
qui	7	0.3
s'appelait	7.35	0.3
histoires	7.7	0.3
vécues.	8.05	0.3
ça	8.4	0.3
représentait	8.75	0.3
un	9.1	0.3
serpent	9.45	0.3
boa	9.8	0.3
qui	10.15	0.3
avalait	10.5	0.3
un	10.85	0.3
fauve.	11.2	0.3
voilà	11.55	0.3
la	11.9	0.3
copie	12.25	0.3
du	12.6	0.3
dessin.	12.95	0.3
on	13.65	0.3
disait	14	0.3
dans	14.35	0.3
le	14.7	0.3
livre	15.05	0.3
:	15.4	0.3
"les	15.75	0.3
serpents	16.1	0.3
boas	16.45	0.3
avalent	16.8	0.3
leur	17.15	0.3
proie	17.5	0.3
tout	17.85	0.3
entière,	18.2	0.3
sans	18.55	0.3
la	18.9	0.3
mâcher.	19.25	0.3
ensuite	19.6	0.3
ils	19.95	0.3
ne	20.3	0.3
peuvent	20.65	0.3
plus	21	0.3
bouger	21.35	0.3
et	21.7	0.3
ils	22.05	0.3
dorment	22.4	0.3
pendant	22.75	0.3
les	23.1	0.3
six	23.45	0.3
mois	23.8	0.3
de	24.15	0.3
leur	24.5	0.3
digestion."	24.85	0.3
j'ai	25.55	0.3
alors	25.9	0.3
beaucoup	26.25	0.3
réfléchi	26.6	0.3
sur	26.95	0.3
les	27.3	0.3
aventures	27.65	0.3
de	28	0.3
la	28.35	0.3
jungle	28.7	0.3
et,	29.05	0.3
à	29.4	0.3
mon	29.75	0.3
tour,	30.1	0.3
j'ai	30.45	0.3
réussi,	30.8	0.3
avec	31.15	0.3
un	31.5	0.3
crayon	31.85	0.3
de	32.2	0.3
couleur,	32.55	0.3
à	32.9	0.3
tracer	33.25	0.3
mon	33.6	0.3
premier	33.95	0.3
dessin.	34.3	0.3
mon	34.65	0.3
dessin	35	0.3
numéro	35.35	0.3
1.	35.7	0.3
il	36.05	0.3
était	36.4	0.3
comme	36.75	0.3
ça	37.1	0.3
:	37.45	0.3
j'ai	39.55	0.3
montré	39.9	0.3
