,word,onset,offset,duration
0,lorsque,3.05,3.42,0.3700000000000001
1,j',3.42,3.44,0.020000000000000018
2,avais,3.53,3.76,0.22999999999999998
3,six,3.93,4.18,0.24999999999999956
4,ans,4.18,4.36,0.1800000000000006
5,j',4.4,4.54,0.13999999999999968
6,ai,4.54,4.774013,0.23401300000000003
7,vu,4.859433,5.1498620000000015,0.2904290000000014
8,une,5.1498620000000015,5.5,0.3501379999999985
9,fois,5.5,5.83,0.33000000000000007
10,une,6.14,6.6,0.45999999999999996
11,magnifique,6.6,7.21,0.6100000000000003
12,image,7.21,7.71,0.5
13,dans,7.86,8.18,0.3199999999999994
14,un,8.18,8.38,0.20000000000000107
15,livre,8.38,8.65,0.2699999999999996
16,sur,8.65,8.85,0.1999999999999993
17,la,8.85,8.95,0.09999999999999964
18,forêt,8.95,9.33,0.3800000000000008
19,vierge,9.33,9.81,0.4800000000000004
20,qui,9.81,9.99,0.17999999999999972
21,s',9.99,10.12,0.129999999999999
22,appelait,10.12,10.56,0.4400000000000013
23,histoires,10.81,11.35,0.5399999999999991
24,vécues,11.35,11.79,0.4399999999999995
25,ça,12.64,12.95,0.3099999999999987
26,représentait,12.95,13.54,0.5899999999999999
27,un,13.54,13.67,0.13000000000000078
28,serpent,13.67,14.16,0.4900000000000002
29,boa,14.16,14.54,0.379999999999999
30,qui,14.77,14.95,0.17999999999999972
31,avalait,14.95,15.41,0.46000000000000085
32,un,15.41,15.55,0.14000000000000057
33,fauve,15.55,16.13,0.5799999999999983
34,voilà,16.72,17.13,0.41000000000000014
35,la,17.13,17.26,0.13000000000000256
36,copie,17.26,17.65,0.389999999999997
37,du,17.65,17.725,0.07500000000000284
38, ,17.725,17.8,0.07499999999999929
39,dessin,17.8,18.2,0.3999999999999986
40,on,19.47,19.53,0.060000000000002274
41,disait,19.53,19.94,0.41000000000000014
42,dans,19.94,20.11,0.16999999999999815
43,le,20.11,20.26,0.15000000000000213
44,livre,20.26,20.77,0.509999999999998
45,les,20.98,21.17,0.19000000000000128
46,serpents,21.17,21.65,0.4799999999999969
47,boas,21.65,22.08,0.4299999999999997
48,avalent,22.14,22.69,0.5500000000000007
49,leur,22.69,22.88,0.18999999999999773
50,proie,22.88,23.24,0.35999999999999943
51,tout,23.4,23.65,0.25
52,entière,23.65,24.31,0.6600000000000001
53,sans,24.31,24.66,0.3500000000000014
54,la,24.66,24.79,0.129999999999999
55,mâcher,24.79,25.28,0.490000000000002
56,ensuite,25.81,26.33,0.5199999999999996
57,ils,26.33,26.43,0.10000000000000142
58,ne,26.43,26.57,0.14000000000000057
59,peuvent,26.57,26.8,0.23000000000000043
60,plus,26.8,27.06,0.259999999999998
61,bouger,27.06,27.52424,0.4642400000000002
62,et,27.704903,27.876058,0.17115499999999884
63,ils,27.876058,28.02,0.14394199999999913
64,dorment,28.02,28.44,0.4200000000000017
65,pendant,28.44,28.77,0.3299999999999983
66,les,28.77,28.91,0.14000000000000057
67,six,28.91,29.23,0.3200000000000003
68,mois,29.23,29.51,0.28000000000000114
69,de,29.51,29.61,0.09999999999999787
70,leur,29.61,29.78,0.1700000000000017
71,digestion,29.78,30.38,0.5999999999999979
72,j',32.195161,32.340959999999995,0.14579899999999668
73,ai,32.340959999999995,32.442384999999994,0.10142499999999899
74,alors,32.442384999999994,32.8,0.3576150000000027
75,beaucoup,32.8,33.41,0.6099999999999994
76,réfléchi,33.41,34.08,0.6700000000000017
77,sur,34.08,34.25,0.1700000000000017
78,les,34.25,34.47,0.21999999999999886
79,aventures,34.47,34.97,0.5
80,de,34.97,35.09,0.12000000000000455
81,la,35.09,35.23,0.13999999999999346
82,jungle,35.23,35.71,0.480000000000004
83,et,36.23,36.4,0.1700000000000017
84,à,36.6,36.73,0.12999999999999545
85,mon,36.73,36.93,0.20000000000000284
86,tour,36.93,37.27,0.3400000000000034
87,j',37.48,37.62,0.14000000000000057
88,ai,37.62,37.74,0.12000000000000455
89,réussi,37.74,38.31,0.5700000000000003
90,avec,38.52,38.84,0.3200000000000003
91,un,38.84,38.94,0.09999999999999432
92,crayon,38.94,39.31,0.37000000000000455
93,de,39.31,39.44,0.12999999999999545
94,couleur,39.44,40.03,0.5900000000000034
95,à,40.47,40.6,0.13000000000000256
96,tracer,40.6,41.13,0.5300000000000011
97,mon,41.13,41.32,0.18999999999999773
98,premier,41.36,41.85,0.490000000000002
99,dessin,41.85,42.2,0.3500000000000014
100,mon,42.79,43.01,0.21999999999999886
101,dessin,43.01,43.43,0.4200000000000017
102,numéro,43.43,43.92,0.490000000000002
103,1,44.02,44.19,0.1699999999999946
104,il,44.92,45.08,0.1599999999999966
105,était,45.08,45.4,0.3200000000000003
106,comme,45.4,45.69,0.28999999999999915
107,ça,45.69,45.95,0.2600000000000051
108,j',47.49,47.58,0.0899999999999963
109,ai,47.58,47.73,0.14999999999999858
110,montré,47.73,48.1,0.37000000000000455
111,mon,48.1,48.21,0.10999999999999943
112,chef,48.21,48.51,0.29999999999999716
113,-d',48.51,48.59,0.0800000000000054
114,oeuvre,48.59,48.91,0.3199999999999932
115,aux,48.91,48.97,0.060000000000002274
116, ,48.97,49.03,0.060000000000002274
117,grandes,49.03,49.33,0.29999999999999716
118,personnes,49.37,50.0,0.6300000000000026
119,et,50.33,50.35,0.020000000000003126
120,je,50.35,50.5,0.14999999999999858
121,leur,50.5,50.76,0.259999999999998
122,ai,50.76,50.83,0.07000000000000028
123,demandé,50.83,51.26,0.4299999999999997
124,si,51.26,51.43,0.1700000000000017
125,mon,51.43,51.57,0.14000000000000057
126,dessin,51.57,51.96,0.39000000000000057
127,leur,51.96,52.12,0.1599999999999966
128,faisait,52.12,52.48,0.35999999999999943
129,peur,52.48,52.92,0.44000000000000483
130,elles,54.32,54.51,0.18999999999999773
131,m',54.51,54.56,0.05000000000000426
132,ont,54.67,54.69,0.01999999999999602
133,répondu,54.69,55.32,0.6300000000000026
