# -*- coding: UTF-8 -*-
#exp: Lexical Decision Task
#dvn: key,rt
block_cnt,block_id,trial_cnt,trial_id,Frequency,Item,Category
0,0,0,0,Frequency,Item,Category
0,0,1,1,HIFREQ,ordres,NOUN
0,0,2,2,HIFREQ,reste,NOUN
0,0,3,3,HIFREQ,couteau,NOUN
0,0,4,4,HIFREQ,poisson,NOUN
0,0,5,5,HIFREQ,courant,NOUN
0,0,6,6,HIFREQ,boulot,NOUN
0,0,7,7,HIFREQ,position,NOUN
0,0,8,8,HIFREQ,reine,NOUN
0,0,9,9,HIFREQ,choix,NOUN
0,0,10,10,HIFREQ,verre,NOUN
0,0,11,11,HIFREQ,salut,NOUN
0,0,12,12,HIFREQ,visage,NOUN
0,0,13,13,HIFREQ,message,NOUN
0,0,14,14,HIFREQ,patron,NOUN
0,0,15,15,HIFREQ,danger,NOUN
0,0,16,16,HIFREQ,plaisir,NOUN
0,0,17,17,HIFREQ,victime,NOUN
0,0,18,18,HIFREQ,balle,NOUN
0,0,19,19,HIFREQ,famille,NOUN
0,0,20,20,HIFREQ,gauche,NOUN
0,0,21,21,LOFREQ,prostate,NOUN
0,0,22,22,LOFREQ,plongée,NOUN
0,0,23,23,LOFREQ,pétasse,NOUN
0,0,24,24,LOFREQ,cordes,NOUN
0,0,25,25,LOFREQ,extrême,NOUN
0,0,26,26,LOFREQ,conduit,NOUN
0,0,27,27,LOFREQ,normes,NOUN
0,0,28,28,LOFREQ,iceberg,NOUN
0,0,29,29,LOFREQ,doyen,NOUN
0,0,30,30,LOFREQ,sûreté,NOUN
0,0,31,31,LOFREQ,voyante,NOUN
0,0,32,32,LOFREQ,rempart,NOUN
0,0,33,33,LOFREQ,porche,NOUN
0,0,34,34,LOFREQ,radios,NOUN
0,0,35,35,LOFREQ,glamour,NOUN
0,0,36,36,LOFREQ,liqueur,NOUN
0,0,37,37,LOFREQ,douille,NOUN
0,0,38,38,LOFREQ,allusion,NOUN
0,0,39,39,LOFREQ,florin,NOUN
0,0,40,40,LOFREQ,fontaine,NOUN
0,0,41,41,HIFREQ,entendre,VERB
0,0,42,42,HIFREQ,savais,VERB
0,0,43,43,HIFREQ,entends,VERB
0,0,44,44,HIFREQ,rentrer,VERB
0,0,45,45,HIFREQ,envoie,VERB
0,0,46,46,HIFREQ,écouter,VERB
0,0,47,47,HIFREQ,laisser,VERB
0,0,48,48,HIFREQ,compris,VERB
0,0,49,49,HIFREQ,pourrais,VERB
0,0,50,50,HIFREQ,foutre,VERB
0,0,51,51,HIFREQ,voyez,VERB
0,0,52,52,HIFREQ,excusez,VERB
0,0,53,53,HIFREQ,envoyer,VERB
0,0,54,54,HIFREQ,entre,VERB
0,0,55,55,HIFREQ,retourne,VERB
0,0,56,56,HIFREQ,bouge,VERB
0,0,57,57,HIFREQ,ferait,VERB
0,0,58,58,HIFREQ,laissez,VERB
0,0,59,59,HIFREQ,montre,VERB
0,0,60,60,HIFREQ,entrer,VERB
0,0,61,61,LOFREQ,allez,VERB
0,0,62,62,LOFREQ,essaye,VERB
0,0,63,63,LOFREQ,peuvent,VERB
0,0,64,64,LOFREQ,pleurer,VERB
0,0,65,65,LOFREQ,pensé,VERB
0,0,66,66,LOFREQ,détruire,VERB
0,0,67,67,LOFREQ,assis,VERB
0,0,68,68,LOFREQ,chercher,VERB
0,0,69,69,LOFREQ,tirer,VERB
0,0,70,70,LOFREQ,passer,VERB
0,0,71,71,LOFREQ,entendre,VERB
0,0,72,72,LOFREQ,laissez,VERB
0,0,73,73,LOFREQ,venue,VERB
0,0,74,74,LOFREQ,voulez,VERB
0,0,75,75,LOFREQ,protéger,VERB
0,0,76,76,LOFREQ,pouvoir,VERB
0,0,77,77,LOFREQ,rends,VERB
0,0,78,78,LOFREQ,dépêche,VERB
0,0,79,79,LOFREQ,acheter,VERB
0,0,80,80,LOFREQ,prévu,VERB
0,0,81,81,NA,povaci,PSEUDO
0,0,82,82,NA,paprénes,PSEUDO
0,0,83,83,NA,ronévait,PSEUDO
0,0,84,84,NA,tuinte,PSEUDO
0,0,85,85,NA,pâtétait,PSEUDO
0,0,86,86,NA,chétinct,PSEUDO
0,0,87,87,NA,vomes,PSEUDO
0,0,88,88,NA,sanci,PSEUDO
0,0,89,89,NA,mêfors,PSEUDO
0,0,90,90,NA,géotin,PSEUDO
0,0,91,91,NA,apragea,PSEUDO
0,0,92,92,NA,aprotise,PSEUDO
0,0,93,93,NA,chlorse,PSEUDO
0,0,94,94,NA,étalse,PSEUDO
0,0,95,95,NA,paprens,PSEUDO
0,0,96,96,NA,mêchele,PSEUDO
0,0,97,97,NA,sprouble,PSEUDO
0,0,98,98,NA,refaine,PSEUDO
0,0,99,99,NA,ébirial,PSEUDO
0,0,100,100,NA,sipanaux,PSEUDO
0,0,101,101,NA,rhutiste,PSEUDO
0,0,102,102,NA,momoses,PSEUDO
0,0,103,103,NA,perrirue,PSEUDO
0,0,104,104,NA,chlourbe,PSEUDO
0,0,105,105,NA,placi,PSEUDO
0,0,106,106,NA,spuis,PSEUDO
0,0,107,107,NA,sprout,PSEUDO
0,0,108,108,NA,virute,PSEUDO
0,0,109,109,NA,fetourse,PSEUDO
0,0,110,110,NA,chodoite,PSEUDO
0,0,111,111,NA,extivail,PSEUDO
0,0,112,112,NA,pruigne,PSEUDO
0,0,113,113,NA,sentelse,PSEUDO
0,0,114,114,NA,mégarson,PSEUDO
0,0,115,115,NA,aprents,PSEUDO
0,0,116,116,NA,mennure,PSEUDO
0,0,117,117,NA,aprata,PSEUDO
0,0,118,118,NA,stict,PSEUDO
0,0,119,119,NA,diperve,PSEUDO
0,0,120,120,NA,fêmore,PSEUDO
0,0,121,121,NA,valfamir,PSEUDO
0,0,122,122,NA,maburont,PSEUDO
0,0,123,123,NA,fetreme,PSEUDO
0,0,124,124,NA,birélait,PSEUDO
0,0,125,125,NA,momours,PSEUDO
0,0,126,126,NA,aticle,PSEUDO
0,0,127,127,NA,ciber,PSEUDO
0,0,128,128,NA,pusque,PSEUDO
0,0,129,129,NA,perimeil,PSEUDO
0,0,130,130,NA,barmeil,PSEUDO
0,0,131,131,NA,vefants,PSEUDO
0,0,132,132,NA,boufide,PSEUDO
0,0,133,133,NA,blube,PSEUDO
0,0,134,134,NA,paprime,PSEUDO
0,0,135,135,NA,protemci,PSEUDO
0,0,136,136,NA,fadament,PSEUDO
0,0,137,137,NA,sprenche,PSEUDO
0,0,138,138,NA,marect,PSEUDO
0,0,139,139,NA,havénant,PSEUDO
0,0,140,140,NA,sauvoude,PSEUDO
0,0,141,141,NA,phralve,PSEUDO
0,0,142,142,NA,verre,PSEUDO
0,0,143,143,NA,moutes,PSEUDO
0,0,144,144,NA,brontai,PSEUDO
0,0,145,145,NA,incoutie,PSEUDO
0,0,146,146,NA,prépatie,PSEUDO
0,0,147,147,NA,troseres,PSEUDO
0,0,148,148,NA,chanche,PSEUDO
0,0,149,149,NA,crouche,PSEUDO
