Arrdt,Numéro,Nom,Mise en service
75001,1011,Rambuteau / Jour,10/11/2013
75001,1041,Quai Orfèvres / Harley,12/15/2017
75001,1049,Halles / Ferronnerie,11/08/2018
75001,1051,St Denis / Rivoli,07/08/2016
75001,1053,Joachim du Bellay / Toiture Citadines,10/19/2016
75001,1055,Rambuteau / Montmartre,03/10/2017
75001,1056,Montorgueil / Turbigo,03/10/2017
75001,1057,Quai F. Mitterrand / Amiral Coligny,06/08/2018
75001,1065,Jardins / Canopée nord-ouest / 132 Rambuteau,03/02/2017
75001,1066,Jardins / Allée nord / St Eustache,01/27/2017
75001,1067,Jardins / Prairie ouest,03/02/2017
75001,1069,Jardins / Allée nord-ouest / Rambuteau,01/27/2017
75001,1071,Canopée sud-ouest,03/02/2017
75001,10439,Pierre Lescot / Berger,03/23/2012
75001,10642,Rivoli / Bourdonnais,12/14/2012
75001,11011,Porte Berger,01/21/2013
75001,11498,Bd Sébastopol / Rambuteau,02/03/2012
75001,11522,Quai des Tuileries - Pont Solférino,10/10/2014
75001,16739,Place Vendôme Nord,11/02/2012
75001,16819,Opéra / Pyramides / Thérèse / Ventadour,07/06/2012
75001,16887,Pont Neuf / Mégisserie,12/21/2011
75001,21868,Palais Royal / Rivoli,12/21/2011
75001,23987,Rue de la Paix / Danielle Casanova,11/02/2012
75001,29222,Place Joachim du Bellay / Saint Denis / Innocents,01/27/2012
75001,30950,Place du Chatelet / Pont au Change / Quai de la Mégisserie,01/20/2012
75001,34698,Turbigo / Etienne Marcel,01/27/2012
75001,35346,Valois / Colonel Driant,06/08/2012
75001,35388,Place André Malraux / Avenue de l'Opéra,01/25/2013
75001,42234,Place Joachim du Bellay / Pierre Lescot / Berger,11/09/2012
75001,43353,Palais Royal / Saint Honoré,01/27/2012
75001,44373,Rivoli / Echelle,06/08/2012
75001,44805,Rivoli / 29 juillet,06/08/2012
75001,46685,Lemonnier / Rivoli,01/20/2012
75001,50256,Viarmes / Adolphe Jullien,06/08/2012
75001,51066,Concorde / Rivoli,01/11/2013
75001,57222,Castiglione / Saint Honoré,09/07/2012
75001,58791,Place Joachim du Bellay / Innoccents,03/09/2012
75001,60777,Place Maurice Barrès / Saint Honoré / Cambon,09/21/2012
75001,67140,Rivoli / Marengo,06/08/2012
75001,67865,Louvre / Coquillière,05/04/2012
75001,70744,Place Maurice Quentin / Rue du Pont Neuf,05/04/2012
75001,74254,Saint Denis / Cygne,02/24/2012
75001,77747,Place Joachim du Bellay / Berger / Saint Denis,02/03/2012
75001,79769,Croix des Petits Champs / La Vrillière,05/04/2012
75001,79777,Place du Carrousel / Pyramide du Louvre,02/22/2013
75001,79901,Rivoli / Castiglione,05/25/2012
75001,81411,Place du Chatelet / Avenue Victoria,12/21/2011
75001,82064,Bd Sébastopol / Reynie,02/17/2012
75001,82655,Pierre Lescot / Cossonnerie,03/02/2012
75001,88364,Pont Neuf - Amont,05/22/2015
75001,89978,Pont de la Concorde - Amont,03/01/2013
75001,92689,Pont de la Concorde - Aval,03/01/2013
75001,99000,Quai François Mitterrand / Pont du Carrousel,03/01/2013
75001,99375,Pont Neuf - Aval,05/22/2015
75002,2006,Bd Capucines / Scribe,Début 2019
75002,2033,Lune / Notre-Dame Bonne Nouvelle,11/25/2016
75002,12927,Saint Denis / Greneta,07/06/2012
75002,15493,Bd Capucines / Caumartin,04/13/2012
75002,15991,Rue Saint Denis / Rue Sainte Apolline,09/21/2012
75002,17326,Opéra / d'Antin,10/12/2012
75002,18870,Réaumur / Saint Denis,12/21/2011
75002,20941,Place de la Bource / Vivienne / Feydau,02/24/2012
75002,22579,Bd Sébastopol / Réaumur,07/20/2012
75002,23076,Place de la Bourse / Réaumur / Notre-Dame des Victoires,08/01/2014
75002,26709,Bd Italiens / Gramont,06/08/2012
75002,29697,Bd Haussmann / Drouot / Richelieu / Bd Montmartre,04/13/2012
75002,31706,Place de la Bourse / 4 septembre / Vivienne,12/21/2011
75002,40753,Paix / Daunou,03/30/2012
75002,62793,Quatre septembre / Monsigny / Choiseul,01/27/2012
75002,67171,"19, Bd Poissonnière",05/04/2012
75002,70766,Bd Italiens / Michodière,08/03/2012
75002,72618,Bd Poissonnière / Rue Poissonnière,10/26/2012
75002,72782,Sainte Anne / Petits Champs,06/02/2014
75002,72870,Petits Champs / Radziwill / La Vrillière,03/09/2012
75002,78022,Réaumur / Petits Carreaux,01/18/2013
75002,88097,Bd Montmartre / Rue Montmartre,03/09/2012
75002,89465,Opéra / Danielle Casanova / Petits Champs / Saint Roch,10/12/2012
