Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75001;46685;Avenue du Général Lemonnier, rue de Rivoli;Avenue du Général Lemonnier; rue de Rivoli;;croisement;20/01/12
75001;1058;Jardin des Halles, Colonne Médicis;Jardin des Halles; Colonne Médicis;;croisement;inconnue
75001;1059;Jardin des Halles, Porte du Louvre;Jardin des Halles; Porte du Louvre;;croisement;inconnue
75001;1060;Jardin des Halles, rue Berger, rue des Prouvaires;Jardin des Halles; rue Berger; rue des Prouvaires;croisement;inconnue
75001;35388;Place André Malraux, avenue Opéra;Place André Malraux; avenue Opéra;;croisement;25/01/13
75001;51066;Place de la Concorde, rue de Rivoli;Place de la Concorde; rue de Rivoli;;croisement;11/01/13
75001;81411;Place du Châtelet, avenue Victoria;Place du Châtelet; avenue Victoria;;croisement;21/12/11
75001;43353;Place du Palais-Royal;Place du Palais-Royal;;;adresse imprécise;27/01/12
75001;29222;Place Joachim du Bellay, rue Saint-Denis, rue des Innocents;Place Joachim du Bellay; rue Saint-Denis; rue des Innocents;croisement;27/01/12
75001;42234;Place Joachim du Bellay, rue Berger, rue Pierre Lescot;Place Joachim du Bellay; rue Berger; rue Pierre Lescot;croisement;09/11/12
75001;58791;Place Joachim du Bellay, rue des Innocents;Place Joachim du Bellay; rue des Innocents;;croisement;09/03/12
75001;77747;Place Joachim du Bellay, rue Berger, rue Saint-Denis;Place Joachim du Bellay; rue Berger; rue Saint-Denis;croisement;03/02/12
75001;60777;Place Maurice Barrès — rue Cambon, rue Saint-Honoré;Place Maurice Barrès — rue Cambon; rue Saint-Honoré;;croisement;21/09/12
75001;21868;Place Palais Royal;Place Palais Royal;;;adresse imprécise;21/12/11
75001;16739;Place Vendôme;Place Vendôme;;;adresse imprécise;02/11/12
75001;1043;Place Vendôme (Sud-Est);Place Vendôme (Sud-Est);;;point décrit;inconnue
75001;89978;Pont de la Concorde amont — Seine;Pont de la Concorde amont — Seine;;;point décrit;01/03/13
75001;96356;Pont des Arts amont — Seine;Pont des Arts amont — Seine;;;point décrit;21/12/12
75001;16887;Quai de la Mégisserie, Pont Neuf;Quai de la Mégisserie; Pont Neuf;;croisement;21/12/11
75001;1041;Quai des Orfèvres, rue de Harlay;Quai des Orfèvres; rue de Harlay;;croisement;15/12/17
75001;99000;Quai François Mitterrand, Pont du Carrousel;Quai François Mitterrand; Pont du Carrousel;;croisement;01/03/13
75001;1057;Quai François Mitterrand, rue de l'Amiral de Coligny;Quai François Mitterrand; rue de l'Amiral de Coligny;;croisement;08/06/18
75001;10439;Rue Berger, rue Pierre Lescot;Rue Berger; rue Pierre Lescot;;croisement;23/03/12
75001;11011;Rue Berger, Porte Berger (Forum des Halles);Rue Berger; Porte Berger (Forum des Halles);;croisement;21/01/13
75001;35346;Rue Colonel Driant, rue Valois;Rue Colonel Driant; rue Valois;;croisement;08/06/12
75001;67865;Rue Coquillière, rue du Louvre;Rue Coquillière; rue du Louvre;;croisement;04/05/12
75001;79769;Rue Croix des Petits Champs, rue Vrillière;Rue Croix des Petits Champs; rue Vrillière;;croisement;04/05/12
75001;23987;Rue de la Paix, rue Danielle Casanova;Rue de la Paix; rue Danielle Casanova;;croisement;02/11/12
75001;82064;Rue de la Reynie, boulevard de Sébastopol;Rue de la Reynie; boulevard de Sébastopol;;croisement;17/02/12
75001;10642;Rue de Rivoli, rue des Bourdonnais;Rue de Rivoli; rue des Bourdonnais;;croisement;14/12/12
75001;44373;Rue de Rivoli, rue de l'Echelle;Rue de Rivoli; rue de l'Echelle;;croisement;08/06/12
75001;44805;Rue de Rivoli, rue du 29 Juillet;Rue de Rivoli; rue du 29 Juillet;;croisement;08/06/12
75001;67140;Rue de Rivoli, rue de Marengo;Rue de Rivoli; rue de Marengo;;croisement;08/06/12
75001;79901;Rue de Rivoli, rue de Castiglione;Rue de Rivoli; rue de Castiglione;;croisement;25/05/12
75001;50256;Rue de Viarmes, rue Adolphe Julien;Rue de Viarmes; rue Adolphe Julien;;croisement;08/06/12
75001;1049;Rue des Halles, rue de la Ferronerie;Rue des Halles; rue de la Ferronerie;;croisement;08/11/18
75001;16819;Rue des Pyramides, avenue de l'Opéra;Rue des Pyramides; avenue de l'Opéra;;croisement;06/07/12
75001;74254;Rue du Cygne, rue Saint-Denis;Rue du Cygne; rue Saint-Denis;;croisement;24/02/12
75001;1011;Rue du Jour, rue Rambuteau;Rue du Jour; rue Rambuteau;;croisement;11/10/13
75001;1055;Rue Montmartre, rue de Turbigo;Rue Montmartre; rue de Turbigo;;croisement;10/03/17
75001;1056;Rue Montorgueil, rue de Turbigo;Rue Montorgueil; rue de Turbigo;;croisement;10/03/17
75001;34698;Rue Pierre Lescot, rue de Turbigo;Rue Pierre Lescot; rue de Turbigo;;croisement;27/01/12
75001;82655;Rue Pierre Lescot, rue de la Cossonnerie;Rue Pierre Lescot; rue de la Cossonnerie;;croisement;02/03/12
75001;11498;Rue Rambuteau, boulevard de Sébastopol;Rue Rambuteau; boulevard de Sébastopol;;croisement;03/02/12
75001;1051;Rue Saint-Denis, rue de Rivoli;Rue Saint-Denis; rue de Rivoli;;croisement;08/07/16
75001;57222;Rue Saint-Honoré, place Vendôme;Rue Saint-Honoré; place Vendôme;;croisement;07/09/12
75001;1069;Jardin des Halles — allée Nord-Ouest, Coquillière;;;;point décrit;27/01/17
75001;1071;Halles — Canopée Sud-Ouest, rue Berger;;;;point décrit;02/03/17
75001;11522;Quai des Tuileries, pont de Solférino — Seine;;;;point décrit;10/10/14
75001;30950;Place du Châtelet;;;;adresse imprécise;20/01/12
75001;70744;Place Maurice Quentin;;;;adresse précise;04/05/12
75001;79777;Place du Carrousel;;;;adresse imprécise;22/02/13
75001;88364;Pont Neuf amont — Seine;;;;point décrit;22/05/15
75001;92689;Pont de la Concorde aval — Seine;;;;point décrit;01/03/13
75001;99375;Pont Neuf en aval — Seine;;;;point décrit;22/05/15
75001;1053;Place Joachim du Bellay (Toiture hôtel Citadines);;;;point décrit;19/10/16
75001;1065;Halles — Canopée Nord-Ouest, rue Rambuteau;;;;point décrit;02/03/17
75001;1066;Jardin des Halles — Saint-Eustache, Rambuteau;;;;point décrit;27/01/17
75001;1067;Jardin des Halles — Prairie Ouest;;;;point décrit;02/03/17
75001;1068;Jardin des Halles — Prairie Est;;;;point décrit;inconnue
75002;2006;Boulevard des Capucines, rue Scribe;Boulevard des Capucines; rue Scribe;;croisement;Début 2019
75002;15493;Boulevard des Capucines, rue Caumartin;Boulevard des Capucines; rue Caumartin;;croisement;13/04/12
75002;70766;Boulevard des Italiens, rue de la Michodière;Boulevard des Italiens; rue de la Michodière;;croisement;03/08/12
75002;89516;Boulevard des Italiens, rue Le Peletier, rue Favart;Boulevard des Italiens; rue Le Peletier; rue Favart;croisement;13/04/12
75002;72618;Boulevard Poissonnière, rue Poissonnière;Boulevard Poissonnière; rue Poissonnière;;croisement;26/10/12
75002;88097;Boulevard Poissonnière, rue Montmartre;Boulevard Poissonnière; rue Montmartre;;croisement;09/03/12
75002;91229;Boulevard Saint-Denis, boulevard de Sébastopol;Boulevard Saint-Denis; boulevard de Sébastopol;;croisement;22/06/12
75002;20941;Place de la Bourse, rue Vivienne, rue Feydeau;Place de la Bourse; rue Vivienne; rue Feydeau;croisement;24/02/12
75002;23076;Place de la Bourse, rue Notre-Dame des Victoires, rue Réaumur;Place de la Bourse; rue Notre-Dame des Victoires; rue Réaumur;croisement;01/08/14
75002;24047;Place de la Bourse, rue Notre-Dame des Victoires;Place de la Bourse; rue Notre-Dame des Victoires;;croisement;10/02/12
75002;31706;Place de la Bourse, rue du Quatre Septembre;Place de la Bourse; rue du Quatre Septembre;;croisement;21/12/11
75002;17326;Rue d'Antin, avenue de l'Opéra;Rue d'Antin; avenue de l'Opéra;;croisement;12/10/12
75002;89465;Rue Danielle Casanova, avenue de l'Opéra;Rue Danielle Casanova; avenue de l'Opéra;;croisement;12/10/12
75002;40753;Rue Daunou, rue de la Paix;Rue Daunou; rue de la Paix;;croisement;30/03/12
75002;26709;Rue de Gramont, boulevard des Italiens;Rue de Gramont; boulevard des Italiens;;croisement;08/06/12
